,price
14692,6411
30409,928
14806,6462
40358,526
45036,2401
10883,5136
14894,6503
18679,8726
28768,864
28746,863
41861,1949
42460,2037
12638,5640
10150,4951
9995,4915
20201,10023
319,2804
42495,2041
44317,2318
41728,1931
20129,9952
43502,2198
10402,5006
30863,947
6350,4162
15548,6773
19725,9533
45304,2444
28765,864
23075,434
30745,943
11651,5327
40956,1844
12727,5667
29479,891
22312,652
45382,2458
7259,4336
29230,880
27298,811
38572,1619
23421,685
34492,1134
10502,5032
33243,1061
34628,1152
30016,911
17681,7971
28500,854
23986,705
31641,983
16488,7270
28582,857
38642,1624
19572,9416
43077,2131
36092,1279
9817,4865
31151,959
484,2827
37733,1454
42291,2006
29873,906
24921,732
20107,9918
23257,683
4304,3684
33583,1077
27613,826
35007,1181
23476,687
7087,4304
16760,7418
26873,798
14749,6440
35147,1196
25217,743
22496,659
20984,10850
33141,1053
27669,827
4791,3801
26327,776
5295,3924
21372,11299
27180,805
46280,2609
21798,11837
11681,5339
46295,2612
10975,596
41729,1932
4158,3655
2355,3219
44259,2311
32189,1008
27804,828
10575,5050
2112,3170
7236,4328
32102,1007
42532,2048
15356,6668
11163,5204
11928,5412
37060,1389
12184,5505
8422,4578
19042,625
16804,7448
16510,7277
32986,1047
10621,5061
1685,3067
39001,1656
26671,454
16677,7370
45160,2423
41659,1919
25696,758
39343,1688
2686,3299
8907,4672
390,2814
22525,661
14705,6416
7283,583
15348,611
9854,4873
4469,3730
15737,6851
5130,3886
23644,694
3920,3596
17379,7764
7630,4412
32165,1007
43064,2129
39907,1746
18376,8530
44443,2330
39017,1656
40142,1765
35532,1235
19160,9055
37274,1410
4665,3770
30994,954
25827,764
33192,1056
21651,11616
12102,5476
36925,1372
12509,5599
36830,1364
29215,880
24542,720
30466,931
14853,6480
41473,1902
31988,1000
8662,4624
13605,5988
26149,773
26205,775
32560,1023
5787,4039
32746,1035
5832,4052
16479,7260
4177,3662
9052,4704
23696,698
42875,2095
15396,6691
25289,743
38782,523
16145,7087
39428,525
31746,987
34845,1169
18280,8436
38452,1608
5040,3864
24025,706
16579,7297
25844,765
10607,5056
35606,393
38049,1571
45378,2457
23542,689
4955,3841
8636,4619
7603,4404
34635,1153
10074,4928
13735,6048
33702,1081
17393,7778
45011,2399
33219,1059
28886,871
9365,4764
35727,1243
12903,5724
41455,1898
45995,2562
38259,1589
29442,889
928,2904
14734,6432
25668,449
7250,4333
3192,3404
23539,689
36682,1345
13456,605
26538,787
22780,666
21019,10907
28695,863
8036,4489
18540,8612
15128,6597
9120,591
39887,1745
32823,1040
7016,4284
15441,6715
14606,6387
26871,798
29644,898
18320,8476
1930,3122
21506,11419
13982,6134
30234,475
32435,1018
40775,1822
41993,1963
38618,1624
31105,957
21277,11175
14262,6254
37328,1415
39893,1745
12804,5701
31541,979
40984,394
10795,5107
18587,8645
30797,945
28244,844
38462,1609
11598,599
31844,990
32054,1002
43286,2163
11417,5262
12314,5535
43520,2201
25939,766
36877,1367
8514,4588
20848,10711
29843,906
36799,1359
13847,6085
31037,956
13266,5860
44662,2362
12920,5733
25521,754
26196,774
28444,853
3451,3465
22060,645
12132,5488
38735,1632
25740,760
20476,10308
41674,1922
27052,802
35647,1239
45435,2470
36714,1351
34321,1124
8641,4620
29238,374
44930,2394
16744,7414
15211,6628
44781,2373
43038,2122
7242,4331
16326,7171
5904,4072
7846,4457
44427,2328
5929,4077
13825,6075
44841,2382
36536,505
17739,8015
29756,901
39250,1675
36960,1377
44258,2311
30856,946
2169,3176
35537,1235
20427,10243
6635,4213
1913,3118
29465,891
30063,912
18769,8770
25694,758
13685,6027
38974,1655
44988,2398
13669,6019
36625,1338
32536,1020
9573,4811
25575,755
12014,5443
30377,926
4832,3812
3588,3503
43922,2267
14053,605
12105,5478
44534,2344
41017,530
36162,1289
13510,5943
31695,984
9168,4717
27988,834
7492,4384
29416,886
42457,2036
37930,1555
26348,452
10962,596
44661,2361
40376,526
33101,489
32203,1008
43989,2276
42439,2033
10253,4975
44226,2307
24442,717
16645,7351
26219,775
45573,548
10450,5019
11494,5288
34946,1179
36355,1310
40406,1789
31755,988
25311,744
41884,1953
11253,5227
29080,876
4524,3741
37543,1436
46547,2657
17174,620
25859,765
12598,5622
41573,1915
31116,958
18167,8333
29191,878
9280,4745
44311,2318
41279,1878
24899,732
9621,4826
3133,3389
4766,3796
28921,470
40216,1777
40372,526
46200,2594
15343,611
4794,3801
13967,6132
2755,566
25995,368
39427,525
45690,2513
4586,574
40705,1818
18254,8415
40635,1815
6805,4243
11267,597
24797,729
16831,7464
27633,462
23256,683
34641,1153
40953,1843
34972,499
42915,2101
13518,5946
11218,5220
40941,1842
40040,526
17268,7695
24425,716
35352,1216
18718,8752
5830,4052
3055,407
9757,4851
21872,636
7870,586
21363,11272
43287,2163
14742,6438
20219,10045
16061,7038
9477,4787
23963,703
6629,4211
18359,8518
33044,1050
36649,1342
27210,807
452,2822
21864,635
8382,4562
6456,4181
36098,1279
42948,2106
42209,1996
39234,1672
17101,7602
10812,5112
11848,5395
20093,9901
1715,3077
27058,802
35036,1184
14236,6239
11762,5371
3554,3494
32450,382
32821,1040
18808,8795
3366,3452
32958,1046
24784,729
4637,3763
18666,8711
12429,5569
32263,1013
16215,7125
29143,878
44334,2319
19196,9086
30349,924
26321,776
10825,5116
25233,743
3511,3480
8064,4497
33636,1080
36675,1343
46708,2690
2621,3282
11808,5384
15004,608
8630,4619
33154,1055
42041,1971
39994,1753
14415,6300
44169,2298
27714,827
29545,895
44573,2349
12904,5724
13471,605
12661,5646
23553,689
27829,828
43033,2121
9268,4743
42066,1974
27703,827
34779,1162
16619,7332
30518,935
20103,9912
25049,735
7608,4405
11240,5226
42788,2085
42993,2112
24729,726
26903,799
28129,842
2899,3345
5393,3953
27718,827
41033,1845
10589,5054
34989,1179
1800,3095
34282,1121
13145,605
25318,745
6009,4093
44560,2347
29739,900
28170,844
5425,3964
31126,958
6902,4268
37509,1435
10793,5105
26409,778
27685,827
6507,4191
14304,6271
8891,4670
27215,807
25637,756
25570,755
18918,8886
35187,1200
20275,628
37298,1413
38761,1635
42871,2095
36173,1289
32611,1026
28626,858
5251,3915
30847,946
15537,6768
28204,844
7068,4298
28989,873
41903,1956
43637,2220
39835,1737
15894,6954
13949,6124
6503,4191
41902,1956
46823,2706
39273,1678
33964,1100
25183,741
41224,1872
13530,5950
25040,448
45151,2423
43198,2147
32827,1040
20489,10317
18279,8436
25320,745
3805,3562
44968,544
8710,4636
28713,863
6763,4238
16112,7072
16520,7281
17520,7844
35247,1207
44582,2351
14680,608
35354,1216
20032,9841
44653,2360
41708,1928
38567,1619
28801,867
38940,1654
4223,3669
128,2766
37421,1429
15284,6664
9733,593
43999,2277
14741,6437
40313,1786
44520,2340
10635,5067
44535,2344
20743,10584
45482,2479
22357,655
7411,4369
41567,1914
31816,485
42647,2061
11662,5331
33595,1079
16484,7262
45110,2415
6359,4163
17069,7587
34540,1141
11362,5249
31099,957
10070,4927
42143,1986
39774,1727
45816,2536
36289,1298
17200,7651
13619,5994
5169,575
17719,8001
9611,4823
3348,3447
33447,1069
46162,2593
41447,1896
26615,789
5512,3979
46606,2670
2295,3206
37354,1421
35458,1229
41344,1882
1247,559
25687,758
15180,6618
40163,1768
19780,9581
17613,7917
29267,471
6804,4243
29978,911
25115,737
43835,2252
45349,2453
1000,2913
11502,5291
209,2783
12770,5690
11499,5290
30207,919
31137,958
53,405
23326,684
33605,1079
39482,1698
46107,2583
26782,791
680,557
22753,432
35692,1242
2296,3206
32477,487
43397,2184
43010,2116
14688,608
22407,432
9511,4795
15057,6563
23121,678
40672,529
19583,9431
33262,1061
24208,709
41658,1919
12952,5748
3070,408
23399,435
6574,4200
22388,430
8265,4537
26252,776
12340,5543
18611,8662
34664,498
9271,4743
15202,6623
16132,7079
6433,4173
15679,6814
14427,6303
2714,3303
1614,3049
11112,5189
307,2803
7919,4466
9618,4824
46505,552
3858,3578
23949,703
42669,2065
9299,4749
1947,3126
6595,4205
3498,3478
32939,1046
12642,5641
22589,664
46590,2667
26059,769
30614,936
6707,4228
27278,810
41717,1929
540,2838
36221,1294
23245,682
28179,844
5064,3872
7976,4478
857,2889
19921,9741
23067,433
44144,2294
30836,945
35464,1229
41144,1857
37382,1423
45779,2528
44876,2386
11543,5301
36439,1320
35652,1239
6738,4234
28401,852
29692,899
32593,1024
21702,11708
44342,2319
43496,2197
15545,6773
4989,3850
19013,8954
18761,625
10421,5012
13111,5806
35191,1200
32439,1018
19396,9254
40231,1778
44941,2394
12168,5501
30693,942
14498,6335
23545,689
31313,968
27095,802
37559,1437
39829,1736
10612,5057
37148,1400
20167,9996
32220,1009
28866,870
8897,4671
29722,900
41212,1871
6163,4120
12994,5761
20785,10652
33042,1050
46182,552
38494,1609
9310,4751
19435,9285
14410,6299
3482,3472
5253,3915
1006,2915
46185,552
6418,4171
491,2829
43562,2207
41408,1890
7874,586
4222,3669
142,2770
46833,2708
12850,605
3771,3549
30616,936
10370,5000
38383,1605
16475,7258
19774,9580
7320,4346
507,2831
10838,5122
7394,4366
5863,4062
44245,2309
44786,2374
16858,616
25335,745
22375,657
32392,1016
1858,561
17834,8062
12581,5616
29927,474
33747,491
39008,1656
665,557
16661,7362
23405,435
44913,2392
16963,7526
7641,4414
46441,2643
29146,878
18962,8915
31822,485
32689,1032
33283,1061
7329,4350
3938,3601
31133,958
18583,8643
46989,2737
27931,833
1794,3093
14883,6499
7785,4445
46867,2718
12099,5476
7261,581
28390,851
21803,11843
23681,697
21792,11823
9235,4737
39057,1662
32743,1035
18542,8616
16210,7122
38489,523
47052,2752
16152,7090
19920,9740
28935,872
21066,10957
11159,5202
45033,2401
40808,1827
20368,10164
29487,891
14023,6159
35101,1192
6408,4167
25093,737
25752,760
33244,1061
2804,3319
9982,4914
17939,8149
11036,5166
1277,2968
17687,7978
5200,3897
42162,1989
13397,5914
14222,6232
3597,3507
40192,1774
17157,7640
12925,5739
8317,4548
43096,2135
41186,1865
33037,1050
17333,7738
3909,3593
20931,10777
12556,5602
7145,4315
27942,462
23498,687
18803,8794
13920,6110
41142,1857
18203,8366
37615,1439
25691,758
25660,449
9246,4739
28670,862
23296,683
27219,807
354,554
22741,432
19467,9310
25231,743
30882,477
36991,1382
36522,1330
5156,575
16261,614
24161,707
645,2855
4083,3630
1350,2991
37947,1558
40166,1769
43649,2224
9138,4710
29816,905
37899,1551
16428,7233
15959,612
14869,6492
39999,1753
21604,11554
37800,516
12666,5646
8761,4646
44048,401
6281,4147
12744,5674
30694,942
3598,3507
13956,6126
15716,6838
5573,3992
10555,5047
35995,1267
38615,1624
11381,5254
31247,965
12085,5465
6951,4276
31022,956
2814,3323
33503,1073
16290,7149
36620,1338
45084,2409
18670,8716
30645,940
16920,7501
31915,995
20420,10232
36996,1383
14745,6439
14758,6442
19060,625
19258,9141
12622,5631
2665,3293
4756,3794
36650,1342
16237,7135
38084,1574
20306,10090
27007,802
41263,1876
40436,1793
31317,969
37387,1424
29541,895
17971,8183
26360,453
11426,5266
35281,501
21282,11178
38993,1656
40297,1783
41668,1921
39906,1746
20126,9946
44875,2386
14709,6416
41814,1944
35386,1220
39902,1746
30681,942
35025,1181
30752,943
25605,756
36452,1322
45269,545
23744,698
9914,4890
35457,1229
41468,1901
16944,7513
20104,9912
24488,720
47039,2748
836,2881
39,403
11500,5290
16915,7496
35833,1255
20593,628
8548,4594
44365,2323
17251,7679
21144,11061
25382,746
1971,3135
3080,567
46405,2633
46877,2719
15275,6662
30978,953
32143,486
45711,2515
29658,898
21793,11826
31211,961
45827,2537
33640,1080
12091,5468
39152,1665
31047,956
32644,1030
16106,7068
14840,6477
33838,1090
28258,844
13996,6141
4744,3790
41766,1939
41085,1848
30183,918
24669,724
30357,925
28399,851
21308,11209
23066,432
14223,6233
21043,10931
45013,2399
28863,869
35579,1238
22221,648
13644,6002
28387,851
22620,665
12409,5557
3629,3517
24765,727
20208,10033
13561,5967
30473,931
7611,4405
40847,1832
15536,6766
32123,485
5049,3868
31967,998
18416,421
1284,2972
5776,4037
5360,3948
46257,2606
15471,6733
15935,612
20075,9894
10994,5156
1292,2973
10721,5086
17310,7727
16398,7215
831,2879
32142,486
3739,3539
24038,706
46036,2570
4704,3780
14003,6146
12922,5736
43884,2263
38821,1637
21603,11550
33469,1071
38198,1580
46926,2726
40707,1818
7880,586
12428,5569
30285,921
19604,9451
33230,1060
15016,6543
20077,9896
27753,828
13583,5977
12935,5741
31994,1000
34770,1161
463,2823
10678,5072
23626,694
18955,8911
42843,540
31000,954
36096,1279
25825,764
37425,1429
18253,8414
18453,625
8166,587
25618,756
44278,2313
27277,810
35993,1266
38021,1569
39283,1679
13921,6110
1464,3013
47029,2744
24898,732
36811,1361
11811,5385
40793,1824
32236,1010
34617,1151
43061,2127
8284,4541
44762,2370
36759,1356
28157,843
41355,1882
40086,1758
17715,7996
45864,2547
11682,5340
6071,577
24230,709
2508,3251
26443,780
31430,972
28535,854
20966,10821
46524,2654
35804,1250
9243,4739
13243,5846
43574,2209
36185,1290
14002,6146
23209,680
33577,1076
24624,722
16575,7294
20815,10685
15062,6564
20117,9931
10775,5101
774,2870
31179,961
43367,2177
20045,9863
1466,3014
32188,1008
42585,2052
13507,5940
1583,3041
4071,3626
30281,921
9759,4852
6215,4132
36817,1363
38446,1608
11728,5358
19272,9166
9951,4901
5229,3906
42552,537
39297,1682
10829,5120
3127,3388
33603,1079
21637,11595
13307,5879
30704,942
31480,975
8687,4630
32898,1043
40577,1813
6502,4191
23523,689
25527,754
42010,1966
30242,475
4105,3639
34916,1176
7223,4327
47037,2746
41157,1860
4042,3620
45253,2442
26046,768
29125,878
38826,1637
29527,893
27618,462
34950,1179
19693,9513
10889,5139
35339,1214
14616,6391
2199,3183
29311,882
19685,626
36416,1317
23283,683
45828,2537
16812,7453
17439,7812
26698,789
1557,561
43258,2159
45941,2553
44672,544
17350,7745
6150,4118
19409,9262
26463,781
41721,1930
25559,755
34336,1125
15478,6734
8780,589
1269,560
39477,1698
22740,432
19797,9598
28911,470
35350,1215
16891,7481
34792,1163
18930,8893
15137,6600
41072,1847
9263,4742
20546,10367
44576,2351
43048,2124
22070,426
4089,3633
20783,10646
2639,3287
6470,4183
46290,2611
9917,4891
43543,2203
21142,11057
41735,1932
20986,10851
6647,4218
18910,8874
28096,840
9696,4844
37801,516
16393,7211
28403,852
24650,723
43828,2251
15243,6648
46021,2567
3727,3536
20490,10317
23005,675
62,553
20774,10636
642,2854
12040,5451
9001,4692
42331,2012
20304,10090
18346,8505
38317,1598
19119,9022
24472,719
6473,4184
25566,755
18059,8258
4774,3798
9117,591
30457,930
42449,2035
3918,3595
30925,949
21229,11128
19618,9468
9882,4879
43727,2239
11589,599
8649,4620
39478,1698
30865,947
31679,984
13002,5765
15103,6586
5902,4072
8340,4558
11445,5275
30802,945
42697,2067
7281,583
33237,1061
5180,3893
20889,630
13022,5770
6315,4155
21925,640
30594,936
20003,9810
41376,1884
34812,1166
17541,7858
23634,694
32307,1013
9566,4808
46010,2565
24589,720
27952,462
13690,6030
447,2822
22477,658
28873,870
14011,6152
30028,911
31551,979
25175,740
32101,1007
6471,4183
11497,5290
46331,2617
25724,759
25220,743
5028,3860
42369,2021
3501,3478
14204,6221
11742,5364
2358,3220
7455,4375
3955,3604
1071,2930
30548,477
3564,3497
41389,1886
40794,1825
30280,921
3807,3562
36253,1294
34081,1107
28669,862
32377,1015
27392,814
31728,984
7922,4466
3177,3401
10961,596
40891,1838
26780,791
9313,4751
20220,10046
8938,4678
28164,844
2932,3354
11263,5231
38078,1574
40580,1813
41730,1932
8692,4632
44917,2393
3175,3401
25130,738
9532,4798
38473,522
37595,1438
2334,3215
34970,499
10178,4959
34781,1163
40013,1754
38040,1569
3111,3384
36491,1326
30983,954
9831,4871
13181,5820
36594,1333
40396,1788
5815,4046
6316,4155
22893,671
692,2858
1107,2940
10438,5016
38851,1639
40608,1814
24789,729
16879,7476
14220,6232
15188,6618
967,558
28581,857
3698,571
26190,774
10444,5017
19088,8988
19072,8975
21168,631
25734,759
41627,532
27882,829
25203,742
18757,625
42423,2030
23,355
19757,9561
19131,9032
40304,1784
16985,7540
6949,4276
9139,4710
2837,3328
23825,698
3132,3389
15259,6654
17669,7963
21653,11624
9577,4812
344,2810
9654,4832
5296,3924
39703,1722
6906,4269
43718,2238
36060,1273
7282,583
29877,906
20663,10483
22242,648
40525,1807
12357,5546
25477,752
33497,1073
24709,447
8137,4513
8876,4666
10976,596
5394,3953
28159,843
39485,1698
35252,1207
22166,647
10748,5091
44304,2317
43816,2249
14564,6361
11030,5166
42613,2056
3987,571
31397,972
5558,3991
1739,3082
43242,2155
19084,8982
9057,4704
21511,11427
4017,3614
23636,694
22752,432
6449,4179
36928,1372
2634,3285
29748,900
3818,3564
42426,2030
24897,732
20752,10608
7541,4398
6328,4158
29213,880
30428,928
882,2894
36603,1335
4090,3634
9395,4770
40051,526
11714,5353
46748,2697
10869,5131
35721,1243
36258,1295
45252,2441
14086,6169
29363,884
45021,2400
32031,1002
7848,4458
46000,2563
11028,5166
32753,1035
18308,8463
3380,568
2767,566
38188,1580
2913,3350
26627,789
27370,814
9158,4715
28546,855
41893,1955
41023,530
38024,1569
24071,706
14313,6272
26773,791
17175,620
31906,994
15268,6660
3124,3387
25938,766
22223,648
30971,953
29296,881
39908,1746
31144,959
18465,8555
32449,382
37469,507
12395,5555
43270,2161
25974,767
6155,4119
38000,1565
19692,9511
38691,1629
598,2845
21760,633
5074,3876
27901,830
1448,3011
34038,491
26644,789
32585,1024
21487,11392
44444,2330
15507,6751
10472,5025
45602,2496
25663,449
34681,1153
8420,4576
29432,888
30868,477
7951,4472
42533,537
5852,4059
12400,5556
11733,5361
32895,1043
43253,2159
40997,397
15147,6604
11221,5221
11129,5193
3233,3418
26835,794
41635,533
19149,9044
43740,542
20855,10724
5079,3878
39648,1718
41758,1935
6864,4258
45165,2424
33064,1052
18874,8852
32410,1016
10870,5131
6038,4102
44498,2337
39897,1746
27540,819
15700,6830
45430,2469
36336,1306
32922,1044
27858,829
10574,5050
28488,854
40020,1754
37838,394
8472,589
37541,1436
32963,1046
26957,802
25550,755
35663,1240
6035,4101
31441,974
8617,4616
39963,1751
23025,675
9940,4899
546,2838
3865,3580
43996,2277
37447,1431
45626,2501
33995,1103
10054,596
22037,645
15497,6748
34263,1118
6988,4278
32162,1007
3043,3382
28044,838
9428,593
17002,7550
4575,574
22559,663
2783,3312
24056,441
6565,4200
30651,941
43933,2269
38364,1604
16826,7459
44655,2360
8559,4598
5544,3989
32702,1033
25490,752
16285,7146
18759,625
13034,5775
39565,1709
37112,1397
430,2821
8430,4578
13802,6065
36921,1370
938,2905
2442,3246
24865,731
32078,1004
40939,1842
1802,3096
47033,2745
32079,1005
26565,788
6011,4095
13616,5993
27090,802
6087,579
21067,10959
44476,2334
26112,772
3433,3461
20536,10356
15744,6856
20202,10028
41117,1853
23279,683
23393,435
11530,5294
25742,760
42028,1969
22492,658
21695,11688
31361,970
16574,7294
22502,660
45173,2426
7552,4399
9925,4893
44170,2298
11580,599
26203,775
42798,2087
29123,878
32128,485
148,2771
41692,1926
8779,589
36515,1329
27586,824
4850,3817
21881,638
39274,1678
19517,9352
33179,1056
41182,1865
5151,575
43530,2202
4203,3669
16535,7291
6835,4252
35475,1230
28590,466
41001,530
41341,531
20276,628
3372,3454
5137,3888
17294,7715
38144,520
141,2770
24401,715
11532,5296
18519,8596
32278,1013
9463,4784
34470,1132
27726,827
46129,2587
43893,2264
43129,540
34592,1148
40415,1790
42032,1970
46789,552
43940,2270
1544,3037
11400,5259
28189,844
37693,1446
16010,6999
33508,1074
40443,1793
30273,921
46132,2587
9379,4766
19286,9176
24731,726
14521,6346
34560,1142
23063,675
64,553
30959,952
46101,2583
11150,5199
6848,4255
182,2777
30732,942
28242,844
3990,571
4407,3713
46710,2690
17146,7635
11090,5182
36246,505
11924,5411
16382,7204
35797,1250
13093,5800
18214,8380
14660,6409
43244,2155
31316,969
26081,770
40706,1818
3172,3400
14284,6262
31826,485
266,2797
32026,1002
38624,1624
6802,4243
22276,650
4827,3811
31071,956
10988,5154
9843,4872
7006,4283
25389,746
37391,1424
46198,2593
24957,734
